Sexo;Edad;Nacionalidad;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total;Todas las edades;Total;Total Nacional;;;2023;48.085.361
Total;Todas las edades;Española;Total Nacional;;;2023;41.995.741
Total;Todas las edades;Extranjera;Total Nacional;;;2023;6.089.620
Total;0 años;Total;Total Nacional;;;2023;329.968
Total;0 años;Española;Total Nacional;;;2023;280.270
Total;0 años;Extranjera;Total Nacional;;;2023;49.698
Total;1 año;Total;Total Nacional;;;2023;346.953
Total;1 año;Española;Total Nacional;;;2023;295.149
Total;1 año;Extranjera;Total Nacional;;;2023;51.804
Total;2 años;Total;Total Nacional;;;2023;348.066
Total;2 años;Española;Total Nacional;;;2023;295.550
Total;2 años;Extranjera;Total Nacional;;;2023;52.516
Total;3 años;Total;Total Nacional;;;2023;370.824
Total;3 años;Española;Total Nacional;;;2023;316.371
Total;3 años;Extranjera;Total Nacional;;;2023;54.453
Total;4 años;Total;Total Nacional;;;2023;390.595
Total;4 años;Española;Total Nacional;;;2023;334.986
Total;4 años;Extranjera;Total Nacional;;;2023;55.609
Total;5 años;Total;Total Nacional;;;2023;416.867
Total;5 años;Española;Total Nacional;;;2023;360.497
Total;5 años;Extranjera;Total Nacional;;;2023;56.370
Total;6 años;Total;Total Nacional;;;2023;438.743
Total;6 años;Española;Total Nacional;;;2023;380.616
Total;6 años;Extranjera;Total Nacional;;;2023;58.127
Total;7 años;Total;Total Nacional;;;2023;451.249
Total;7 años;Española;Total Nacional;;;2023;392.604
Total;7 años;Extranjera;Total Nacional;;;2023;58.645
Total;8 años;Total;Total Nacional;;;2023;459.468
Total;8 años;Española;Total Nacional;;;2023;399.938
Total;8 años;Extranjera;Total Nacional;;;2023;59.530
Total;9 años;Total;Total Nacional;;;2023;455.480
Total;9 años;Española;Total Nacional;;;2023;397.776
Total;9 años;Extranjera;Total Nacional;;;2023;57.704
Total;10 años;Total;Total Nacional;;;2023;481.625
Total;10 años;Española;Total Nacional;;;2023;423.334
Total;10 años;Extranjera;Total Nacional;;;2023;58.291
Total;11 años;Total;Total Nacional;;;2023;493.302
Total;11 años;Española;Total Nacional;;;2023;436.382
Total;11 años;Extranjera;Total Nacional;;;2023;56.920
Total;12 años;Total;Total Nacional;;;2023;504.865
Total;12 años;Española;Total Nacional;;;2023;447.130
Total;12 años;Extranjera;Total Nacional;;;2023;57.735
Total;13 años;Total;Total Nacional;;;2023;513.178
Total;13 años;Española;Total Nacional;;;2023;456.334
Total;13 años;Extranjera;Total Nacional;;;2023;56.844
Total;14 años;Total;Total Nacional;;;2023;536.032
Total;14 años;Española;Total Nacional;;;2023;480.425
Total;14 años;Extranjera;Total Nacional;;;2023;55.607
Total;15 años;Total;Total Nacional;;;2023;517.340
Total;15 años;Española;Total Nacional;;;2023;465.243
Total;15 años;Extranjera;Total Nacional;;;2023;52.097
Total;16 años;Total;Total Nacional;;;2023;516.015
Total;16 años;Española;Total Nacional;;;2023;463.821
Total;16 años;Extranjera;Total Nacional;;;2023;52.194
Total;17 años;Total;Total Nacional;;;2023;507.614
Total;17 años;Española;Total Nacional;;;2023;454.696
Total;17 años;Extranjera;Total Nacional;;;2023;52.918
Total;18 años;Total;Total Nacional;;;2023;511.311
Total;18 años;Española;Total Nacional;;;2023;452.271
Total;18 años;Extranjera;Total Nacional;;;2023;59.040
Total;19 años;Total;Total Nacional;;;2023;510.526
Total;19 años;Española;Total Nacional;;;2023;445.970
Total;19 años;Extranjera;Total Nacional;;;2023;64.556
Total;20 años;Total;Total Nacional;;;2023;499.051
Total;20 años;Española;Total Nacional;;;2023;429.684
Total;20 años;Extranjera;Total Nacional;;;2023;69.367
Total;21 años;Total;Total Nacional;;;2023;500.702
Total;21 años;Española;Total Nacional;;;2023;425.051
Total;21 años;Extranjera;Total Nacional;;;2023;75.651
Total;22 años;Total;Total Nacional;;;2023;508.918
Total;22 años;Española;Total Nacional;;;2023;424.481
Total;22 años;Extranjera;Total Nacional;;;2023;84.437
Total;23 años;Total;Total Nacional;;;2023;501.369
Total;23 años;Española;Total Nacional;;;2023;411.800
Total;23 años;Extranjera;Total Nacional;;;2023;89.569
Total;24 años;Total;Total Nacional;;;2023;492.950
Total;24 años;Española;Total Nacional;;;2023;397.054
Total;24 años;Extranjera;Total Nacional;;;2023;95.896
Total;25 años;Total;Total Nacional;;;2023;504.965
Total;25 años;Española;Total Nacional;;;2023;401.167
Total;25 años;Extranjera;Total Nacional;;;2023;103.798
Total;26 años;Total;Total Nacional;;;2023;503.929
Total;26 años;Española;Total Nacional;;;2023;394.935
Total;26 años;Extranjera;Total Nacional;;;2023;108.994
Total;27 años;Total;Total Nacional;;;2023;510.027
Total;27 años;Española;Total Nacional;;;2023;394.019
Total;27 años;Extranjera;Total Nacional;;;2023;116.008
Total;28 años;Total;Total Nacional;;;2023;518.897
Total;28 años;Española;Total Nacional;;;2023;397.509
Total;28 años;Extranjera;Total Nacional;;;2023;121.388
Total;29 años;Total;Total Nacional;;;2023;535.654
Total;29 años;Española;Total Nacional;;;2023;411.841
Total;29 años;Extranjera;Total Nacional;;;2023;123.813
Total;30 años;Total;Total Nacional;;;2023;550.920
Total;30 años;Española;Total Nacional;;;2023;423.109
Total;30 años;Extranjera;Total Nacional;;;2023;127.811
Total;31 años;Total;Total Nacional;;;2023;549.577
Total;31 años;Española;Total Nacional;;;2023;420.714
Total;31 años;Extranjera;Total Nacional;;;2023;128.863
Total;32 años;Total;Total Nacional;;;2023;557.026
Total;32 años;Española;Total Nacional;;;2023;424.218
Total;32 años;Extranjera;Total Nacional;;;2023;132.808
Total;33 años;Total;Total Nacional;;;2023;565.983
Total;33 años;Española;Total Nacional;;;2023;431.458
Total;33 años;Extranjera;Total Nacional;;;2023;134.525
Total;34 años;Total;Total Nacional;;;2023;575.973
Total;34 años;Española;Total Nacional;;;2023;439.615
Total;34 años;Extranjera;Total Nacional;;;2023;136.358
Total;35 años;Total;Total Nacional;;;2023;582.479
Total;35 años;Española;Total Nacional;;;2023;446.593
Total;35 años;Extranjera;Total Nacional;;;2023;135.886
Total;36 años;Total;Total Nacional;;;2023;595.609
Total;36 años;Española;Total Nacional;;;2023;460.984
Total;36 años;Extranjera;Total Nacional;;;2023;134.625
Total;37 años;Total;Total Nacional;;;2023;614.539
Total;37 años;Española;Total Nacional;;;2023;480.165
Total;37 años;Extranjera;Total Nacional;;;2023;134.374
Total;38 años;Total;Total Nacional;;;2023;636.381
Total;38 años;Española;Total Nacional;;;2023;502.067
Total;38 años;Extranjera;Total Nacional;;;2023;134.314
Total;39 años;Total;Total Nacional;;;2023;656.590
Total;39 años;Española;Total Nacional;;;2023;523.495
Total;39 años;Extranjera;Total Nacional;;;2023;133.095
Total;40 años;Total;Total Nacional;;;2023;691.759
Total;40 años;Española;Total Nacional;;;2023;556.611
Total;40 años;Extranjera;Total Nacional;;;2023;135.148
Total;41 años;Total;Total Nacional;;;2023;719.685
Total;41 años;Española;Total Nacional;;;2023;586.814
Total;41 años;Extranjera;Total Nacional;;;2023;132.871
Total;42 años;Total;Total Nacional;;;2023;752.774
Total;42 años;Española;Total Nacional;;;2023;618.753
Total;42 años;Extranjera;Total Nacional;;;2023;134.021
Total;43 años;Total;Total Nacional;;;2023;771.629
Total;43 años;Española;Total Nacional;;;2023;643.467
Total;43 años;Extranjera;Total Nacional;;;2023;128.162
Total;44 años;Total;Total Nacional;;;2023;803.474
Total;44 años;Española;Total Nacional;;;2023;678.673
Total;44 años;Extranjera;Total Nacional;;;2023;124.801
Total;45 años;Total;Total Nacional;;;2023;812.657
Total;45 años;Española;Total Nacional;;;2023;692.285
Total;45 años;Extranjera;Total Nacional;;;2023;120.372
Total;46 años;Total;Total Nacional;;;2023;825.323
Total;46 años;Española;Total Nacional;;;2023;710.529
Total;46 años;Extranjera;Total Nacional;;;2023;114.794
Total;47 años;Total;Total Nacional;;;2023;817.976
Total;47 años;Española;Total Nacional;;;2023;708.667
Total;47 años;Extranjera;Total Nacional;;;2023;109.309
Total;48 años;Total;Total Nacional;;;2023;810.687
Total;48 años;Española;Total Nacional;;;2023;706.409
Total;48 años;Extranjera;Total Nacional;;;2023;104.278
Total;49 años;Total;Total Nacional;;;2023;788.721
Total;49 años;Española;Total Nacional;;;2023;692.754
Total;49 años;Extranjera;Total Nacional;;;2023;95.967
Total;50 años;Total;Total Nacional;;;2023;784.338
Total;50 años;Española;Total Nacional;;;2023;690.767
Total;50 años;Extranjera;Total Nacional;;;2023;93.571
Total;51 años;Total;Total Nacional;;;2023;770.121
Total;51 años;Española;Total Nacional;;;2023;682.166
Total;51 años;Extranjera;Total Nacional;;;2023;87.955
Total;52 años;Total;Total Nacional;;;2023;758.169
Total;52 años;Española;Total Nacional;;;2023;671.933
Total;52 años;Extranjera;Total Nacional;;;2023;86.236
Total;53 años;Total;Total Nacional;;;2023;747.933
Total;53 años;Española;Total Nacional;;;2023;666.894
Total;53 años;Extranjera;Total Nacional;;;2023;81.039
Total;54 años;Total;Total Nacional;;;2023;739.547
Total;54 años;Española;Total Nacional;;;2023;661.083
Total;54 años;Extranjera;Total Nacional;;;2023;78.464
Total;55 años;Total;Total Nacional;;;2023;742.333
Total;55 años;Española;Total Nacional;;;2023;669.410
Total;55 años;Extranjera;Total Nacional;;;2023;72.923
Total;56 años;Total;Total Nacional;;;2023;722.010
Total;56 años;Española;Total Nacional;;;2023;657.195
Total;56 años;Extranjera;Total Nacional;;;2023;64.815
Total;57 años;Total;Total Nacional;;;2023;714.154
